,sex,row_number,liters_drunk,drink,check_number,label,age_child,age_adult,age_old,morning,day,evening
40,1,78.0,4.0,1,5014,1,False,False,True,False,True,False
41,0,66.0,2.0,0,8258,1,False,True,False,False,True,False
42,0,63.0,3.0,0,1797,0,False,True,False,True,False,False
43,0,59.0,2.5,1,7424,1,False,False,True,False,False,True
44,1,59.0,4.0,1,3628,1,False,True,False,True,False,False
45,0,28.0,0.0,0,9792,0,True,False,False,False,True,False
46,0,39.0,3.0,0,1212,1,True,False,False,False,True,False
47,1,8.0,5.0,1,5082,1,False,False,True,False,False,True
48,0,20.0,3.0,1,1505,1,False,False,True,False,False,True
49,0,18.0,3.0,1,4850,1,False,False,True,False,False,True
50,1,88.0,4.0,0,5642,1,True,False,False,False,True,False
51,0,69.0,4.0,0,4934,1,False,True,False,False,True,False
52,1,49.0,1.0,1,2985,1,False,False,True,False,True,False
53,0,95.0,1.0,0,8356,0,False,True,False,True,False,False
54,0,79.0,3.0,0,1284,1,False,True,False,False,False,True
55,1,64.0,1.0,0,2248,1,False,False,True,False,False,True
56,0,92.0,0.0,0,2625,1,False,True,False,False,False,True
57,1,25.0,1.0,0,2374,1,False,True,False,False,False,True
58,1,100.0,2.5,1,9585,0,False,True,False,True,False,False
59,1,100.0,5.0,1,4736,1,False,True,False,True,False,False
60,0,65.0,4.0,0,4665,1,False,False,True,False,False,True
61,1,83.0,3.0,1,3944,0,False,True,False,True,False,False
62,1,47.0,1.0,0,5570,1,False,True,False,False,True,False
63,0,25.0,2.5,1,5719,1,False,False,True,False,False,True
64,1,4.0,0.0,0,7312,1,False,False,True,False,True,False
65,1,21.0,0.0,0,753,0,True,False,False,True,False,False
66,0,40.0,2.0,0,8362,0,False,False,True,False,True,False
67,1,64.0,2.0,1,4508,0,False,False,True,False,True,False
68,1,57.0,4.0,1,8507,1,False,True,False,False,True,False
69,0,34.0,4.0,1,7522,1,False,True,False,False,False,True
70,1,16.0,3.0,1,4868,0,False,True,False,True,False,False
71,0,44.0,1.0,0,3233,0,False,True,False,True,False,False
72,1,51.0,1.0,0,6422,1,True,False,False,False,False,True
73,1,51.0,4.0,1,2632,1,False,True,False,False,True,False
74,1,100.0,5.0,0,7083,0,False,True,False,True,False,False
75,0,31.0,3.0,1,5636,0,False,True,False,True,False,False
76,0,34.0,2.0,0,9412,1,False,False,True,False,False,True
77,1,67.0,5.0,1,2147,1,False,True,False,False,True,False
78,1,100.0,0.0,0,6401,0,False,False,True,True,False,False
79,1,4.0,3.0,0,5653,1,False,False,True,False,False,True
80,0,40.0,3.0,0,1252,1,False,False,True,False,False,True
81,0,8.0,5.0,1,445,0,False,False,True,True,False,False
82,0,78.0,0.0,1,8451,1,False,False,True,False,False,True
83,1,6.0,5.0,1,7572,1,False,False,True,False,False,True
84,0,11.0,0.0,1,130,0,False,True,False,True,False,False
85,1,63.0,0.0,1,160,1,False,False,True,False,False,True
86,0,30.0,1.0,0,3797,1,False,False,True,False,True,False
87,1,49.0,2.0,0,1269,1,False,False,True,False,True,False
88,0,27.0,4.0,1,3423,1,False,False,True,False,False,True
89,0,75.0,2.5,0,6749,0,False,True,False,True,False,False
90,0,60.0,1.0,1,5203,1,False,True,False,False,False,True
91,0,84.0,0.0,1,5870,0,False,False,True,False,True,False
92,0,9.0,1.0,0,8349,1,False,False,True,False,True,False
93,0,85.0,1.0,0,6244,0,False,True,False,False,True,False
94,0,100.0,2.0,1,6570,0,False,True,False,True,False,False
95,0,19.0,0.0,0,1559,1,False,False,True,False,False,True
96,1,16.0,2.0,1,8319,0,False,True,False,True,False,False
97,1,18.0,0.0,1,3102,1,False,True,False,False,True,False
98,1,13.0,2.0,0,1732,1,True,False,False,False,False,True
99,0,84.0,2.0,0,2557,0,False,False,True,True,False,False
100,1,39.0,1.0,0,4695,0,False,False,True,True,False,False
101,0,1.0,1.0,0,6484,1,False,False,True,False,True,False
102,0,7.0,4.0,1,2309,1,False,True,False,False,False,True
103,1,50.0,1.0,0,6579,0,False,False,True,True,False,False
104,0,29.0,2.0,0,3065,0,True,False,False,False,True,False
105,1,100.0,2.0,1,9362,1,False,True,False,False,True,False
106,1,5.0,0.0,0,9567,1,False,False,True,False,True,False
107,1,100.0,0.0,0,247,1,True,False,False,False,False,True
108,0,16.0,1.0,0,8945,0,False,False,True,False,True,False
109,0,59.0,1.0,1,7891,0,False,False,True,False,True,False
110,0,53.0,1.0,1,4394,1,False,False,True,False,False,True
111,1,37.0,2.5,1,688,1,False,True,False,False,False,True
112,0,69.0,2.0,1,9261,1,False,True,False,False,False,True
113,1,62.0,1.0,1,969,0,False,True,False,True,False,False
114,0,3.0,3.0,0,115,1,False,True,False,False,False,True
115,0,83.0,2.0,1,1636,0,False,True,False,False,True,False
116,0,34.0,4.0,0,9141,1,False,False,True,False,False,True
117,0,3.0,1.0,0,3500,1,True,False,False,False,False,True
118,1,64.0,4.0,1,1875,1,False,True,False,False,True,False
119,1,1.0,5.0,0,951,1,False,True,False,False,True,False
120,1,100.0,0.0,0,3070,1,True,False,False,False,False,True
121,0,74.0,2.5,0,9223,1,True,False,False,False,False,True
122,1,77.0,5.0,0,6038,1,False,False,True,False,True,False
123,1,42.0,1.0,0,7671,0,True,False,False,True,False,False
124,1,37.0,1.0,1,4487,0,False,False,True,True,False,False
125,1,16.0,3.0,1,3619,0,False,False,True,True,False,False
126,0,70.0,2.0,0,3000,1,False,False,True,False,False,True
127,1,40.0,2.0,1,1374,0,False,True,False,True,False,False
128,0,54.0,2.0,0,4288,1,False,False,True,False,True,False
129,1,100.0,2.0,0,3904,1,False,False,True,False,False,True
130,0,100.0,0.0,0,4720,0,False,True,False,True,False,False
131,1,55.0,1.0,0,9029,1,False,False,True,False,False,True
132,0,31.0,3.0,0,1525,1,False,False,True,False,True,False
133,1,10.0,4.0,0,2155,1,False,False,True,False,True,False
134,1,1.0,4.0,0,5207,0,False,False,True,True,False,False
135,1,38.0,4.0,1,442,1,False,True,False,False,False,True
136,1,77.0,2.0,0,9867,0,False,True,False,True,False,False
137,0,70.0,1.0,1,7897,1,False,True,False,False,True,False
138,1,9.0,0.0,0,5599,0,False,True,False,False,True,False
139,0,31.0,3.0,0,1339,1,False,True,False,False,False,True
140,0,8.0,2.0,0,3275,1,False,True,False,False,False,True
141,1,6.0,2.0,1,3990,1,False,False,True,False,False,True
142,0,7.0,5.0,0,6745,1,True,False,False,True,False,False
143,1,44.0,2.0,0,9913,1,True,False,False,False,False,True
144,1,75.0,1.0,1,1616,1,False,True,False,False,False,True
145,0,49.0,1.0,1,6670,1,False,True,False,False,True,False
146,0,6.0,0.0,0,1417,1,False,True,False,False,False,True
147,1,20.0,4.0,1,9620,1,False,False,True,False,True,False
148,1,19.0,1.0,1,7452,0,False,False,True,True,False,False
149,0,43.0,0.0,1,3509,1,False,False,True,False,False,True
150,0,100.0,0.0,1,5399,0,False,False,True,True,False,False
151,1,19.0,3.0,1,9577,1,False,True,False,False,False,True
152,0,9.0,1.0,0,8487,1,False,True,False,False,False,True
153,1,73.0,3.0,1,320,1,False,False,True,False,False,True
154,1,64.0,0.0,0,415,1,False,False,True,False,False,True
155,0,24.0,1.0,1,3366,1,False,False,True,False,True,False
156,1,39.0,2.0,0,9460,0,False,True,False,False,True,False
157,0,74.0,3.0,0,7303,0,False,True,False,False,True,False
158,0,85.0,3.0,1,5283,0,False,False,True,True,False,False
159,1,92.0,0.0,1,7259,1,False,True,False,False,False,True
160,0,28.0,5.0,0,5379,0,False,True,False,True,False,False
161,0,98.0,4.0,0,4162,1,False,False,True,False,False,True
162,1,64.0,0.0,0,8476,1,False,False,True,False,False,True
163,0,33.0,3.0,1,2258,1,False,True,False,False,False,True
164,1,46.0,0.0,1,6936,1,False,True,False,False,False,True
165,0,74.0,4.0,0,3257,0,False,False,True,False,True,False
166,1,30.0,0.0,1,3539,1,False,False,True,False,False,True
167,0,70.0,0.0,0,6510,0,True,False,False,True,False,False
168,0,28.0,1.0,1,8863,0,False,False,True,False,True,False
169,1,100.0,4.0,1,4453,1,False,False,True,False,True,False
170,0,0.0,5.0,0,3722,0,False,False,True,True,False,False
171,1,57.0,4.0,0,4446,1,False,True,False,False,True,False
172,1,25.0,2.0,0,8918,1,False,True,False,False,False,True
173,0,8.0,1.0,0,2974,1,False,True,False,False,True,False
174,0,52.0,1.0,0,7476,0,False,True,False,True,False,False
175,1,22.0,3.0,1,667,0,False,False,True,True,False,False
176,1,47.0,0.0,0,3508,1,False,False,True,False,False,True
177,1,45.0,4.0,0,4820,1,False,False,True,False,False,True
178,1,71.0,4.0,1,9420,1,False,True,False,False,False,True
179,0,22.0,0.0,0,7627,1,False,True,False,False,False,True
180,1,2.0,4.0,1,7575,1,False,False,True,False,False,True
181,0,80.0,2.0,1,7525,1,False,False,True,False,False,True
182,1,76.0,4.0,1,3101,1,False,False,True,False,False,True
183,1,60.0,2.0,0,2512,0,True,False,False,False,True,False
184,1,41.0,1.0,0,3111,0,True,False,False,True,False,False
185,0,20.0,3.0,0,3960,0,False,False,True,True,False,False
186,0,2.0,3.0,1,4466,1,False,True,False,False,False,True
187,1,75.0,2.0,1,8521,1,False,True,False,False,True,False
188,1,100.0,5.0,0,5628,1,False,True,False,False,False,True
189,1,22.0,1.0,0,5484,0,False,False,True,False,True,False
190,0,86.0,3.0,1,1712,1,False,True,False,False,True,False
191,1,38.0,2.0,1,9359,0,False,True,False,True,False,False
192,0,19.0,2.0,1,2798,0,False,True,False,True,False,False
193,1,58.0,3.0,0,539,0,False,True,False,True,False,False
194,1,96.0,1.0,1,5079,1,False,True,False,False,False,True
195,0,88.0,3.0,0,75,0,False,True,False,True,False,False
196,1,62.0,3.0,1,6804,1,False,False,True,False,False,True
197,0,31.0,2.0,1,4500,0,False,False,True,False,True,False
198,0,99.0,4.0,1,1185,1,False,True,False,True,False,False
199,0,23.0,4.0,0,3465,1,False,True,False,False,True,False
200,1,52.0,2.5,1,1399,0,False,False,True,True,False,False
201,0,96.0,4.0,0,1278,0,False,False,True,True,False,False
202,1,65.0,3.0,0,4603,0,False,False,True,True,False,False
203,1,12.0,1.0,1,2680,1,False,True,False,False,False,True
204,1,7.0,0.0,1,5714,1,False,True,False,False,True,False
205,1,44.0,2.0,1,6973,1,False,True,False,False,False,True
206,1,56.0,1.0,0,1684,1,False,False,True,False,False,True
207,0,91.0,3.0,1,5116,1,False,False,True,False,False,True
208,1,13.0,3.0,0,8989,0,False,True,False,True,False,False
209,1,56.0,0.0,1,8397,0,False,True,False,True,False,False
210,1,90.0,4.0,1,4474,1,False,True,False,False,True,False
211,1,28.0,2.0,0,875,1,False,True,False,False,True,False
212,0,20.0,0.0,1,8417,0,False,False,True,True,False,False
213,1,32.0,1.0,0,1806,1,False,False,True,False,False,True
214,1,82.0,5.0,1,786,1,False,True,False,True,False,False
215,0,19.0,1.0,0,1119,1,False,True,False,False,True,False
216,1,19.0,4.0,1,2701,1,False,False,True,False,True,False
217,1,89.0,0.0,0,8222,0,True,False,False,True,False,False
218,1,63.0,1.0,1,536,0,False,False,True,True,False,False
219,1,23.0,3.0,0,4024,1,False,False,True,False,True,False
220,0,15.0,3.0,0,1671,1,False,False,True,False,True,False
221,0,28.0,2.5,1,1164,1,False,False,True,False,False,True
222,1,39.0,0.0,0,208,1,False,True,False,False,False,True
223,0,79.0,1.0,1,8060,1,False,False,True,False,True,False
224,1,87.0,3.0,0,9258,1,True,False,False,False,True,False
225,1,34.0,1.0,0,8310,1,False,True,False,False,False,True
226,0,71.0,4.0,0,9072,1,True,False,False,False,False,True
227,0,89.0,1.0,0,202,0,False,True,False,True,False,False
228,0,100.0,4.0,1,5385,0,False,False,True,True,False,False
229,1,69.0,2.0,0,8087,1,False,False,True,False,False,True
230,1,23.0,1.0,0,3435,1,False,False,True,False,False,True
231,0,3.0,3.0,0,2841,0,False,True,False,True,False,False
232,0,72.0,2.5,1,3986,0,False,False,True,True,False,False
233,0,46.0,2.0,0,4729,0,False,True,False,True,False,False
234,1,42.0,0.0,0,8717,0,False,True,False,True,False,False
235,0,36.0,0.0,0,976,1,False,True,False,False,True,False
236,1,91.0,5.0,0,4502,1,False,False,True,False,True,False
237,1,9.0,2.0,0,4337,1,False,True,False,False,True,False
238,1,36.0,1.0,1,9574,0,False,True,False,True,False,False
239,1,8.0,2.0,1,2059,0,False,True,False,True,False,False
240,1,72.0,2.0,0,2012,1,True,False,False,False,False,True
241,0,59.0,4.0,1,9333,1,False,True,False,True,False,False
242,1,73.0,5.0,1,7042,1,False,True,False,False,True,False
243,0,66.0,3.0,0,8664,1,False,True,False,False,False,True
244,0,9.0,5.0,0,259,0,False,False,True,True,False,False
245,1,69.0,3.0,0,585,0,False,True,False,True,False,False
246,0,32.0,0.0,1,9244,0,False,True,False,True,False,False
247,1,83.0,2.0,0,1030,0,False,False,True,False,True,False
248,0,53.0,4.0,1,6997,1,False,True,False,False,False,True
249,1,88.0,1.0,0,6589,0,False,False,True,True,False,False
250,1,100.0,3.0,1,6335,1,False,True,False,False,False,True
251,1,56.0,0.0,0,4251,0,True,False,False,True,False,False
252,1,26.0,2.0,1,3847,0,False,False,True,True,False,False
253,1,97.0,5.0,1,8105,1,False,True,False,False,False,True
254,1,83.0,5.0,1,4790,1,False,False,True,False,True,False
255,1,63.0,3.0,0,2490,1,False,False,True,False,True,False
256,1,97.0,4.0,0,1193,1,False,True,False,False,True,False
257,0,22.0,3.0,0,3464,0,False,True,False,False,True,False
258,0,18.0,4.0,1,5844,1,False,True,False,True,False,False
259,1,97.0,3.0,0,6811,1,False,False,True,False,False,True
260,0,57.0,1.0,0,9104,0,False,True,False,True,False,False
261,0,18.0,0.0,0,4623,1,False,False,True,False,False,True
262,0,63.0,4.0,1,4717,1,False,True,False,True,False,False
263,1,46.0,4.0,0,8493,0,False,False,True,True,False,False
264,1,77.0,5.0,0,7988,1,False,False,True,False,True,False
265,1,37.0,5.0,0,4116,1,False,True,False,False,True,False
266,0,29.0,2.0,0,8763,0,False,False,True,False,True,False
267,1,61.0,4.0,1,2043,1,False,True,False,False,False,True
268,1,92.0,2.5,0,6545,1,True,False,False,False,True,False
269,1,50.0,4.0,0,2635,1,True,False,False,False,True,False
270,0,8.0,0.0,0,2677,1,True,False,False,False,False,True
271,0,10.0,4.0,1,6972,1,False,True,False,False,True,False
272,1,97.0,2.0,0,5590,0,False,True,False,False,True,False
273,0,16.0,5.0,1,6102,1,False,True,False,False,False,True
274,0,74.0,3.0,0,4884,1,False,False,True,False,False,True
275,0,14.0,2.5,0,230,0,False,False,True,True,False,False
276,0,55.0,4.0,0,477,0,False,False,True,True,False,False
277,0,40.0,5.0,0,8225,1,True,False,False,False,False,True
278,0,28.0,0.0,1,9222,1,False,False,True,False,True,False
279,1,55.0,3.0,0,120,0,False,False,True,True,False,False
280,1,29.0,2.0,1,5176,1,False,True,False,False,False,True
281,0,48.0,3.0,1,5101,1,False,False,True,False,False,True
282,0,46.0,1.0,1,1780,1,False,True,False,False,False,True
283,1,61.0,1.0,0,3300,0,False,True,False,True,False,False
284,0,61.0,5.0,0,8547,0,False,True,False,True,False,False
285,1,51.0,2.0,0,4793,0,False,True,False,True,False,False
286,0,14.0,0.0,1,614,0,False,False,True,True,False,False
287,1,50.0,3.0,1,831,0,False,True,False,True,False,False
288,0,94.0,1.0,1,1423,1,False,False,True,False,False,True
289,0,95.0,0.0,1,6885,0,False,False,True,False,True,False
290,0,82.0,3.0,1,3187,1,False,True,False,False,False,True
291,1,10.0,0.0,0,3060,1,True,False,False,False,True,False
292,1,75.0,1.0,0,1385,1,False,True,False,False,True,False
293,1,75.0,0.0,1,4216,0,False,True,False,True,False,False
294,1,56.0,3.0,1,9151,0,False,True,False,True,False,False
295,0,3.0,2.5,1,7164,1,False,True,False,False,False,True
296,1,69.0,1.0,1,983,1,False,False,True,False,False,True
297,1,18.0,2.5,0,5923,0,False,False,True,False,True,False
298,0,91.0,5.0,1,9436,1,False,True,False,True,False,False
299,1,11.0,2.0,0,3398,0,False,False,True,False,True,False
300,1,8.0,2.5,1,3193,1,False,False,True,False,True,False
301,0,38.0,3.0,0,7379,1,False,True,False,False,False,True
302,0,0.0,3.0,1,8861,0,False,False,True,True,False,False
303,0,82.0,2.0,1,6444,0,False,True,False,False,True,False
304,0,90.0,0.0,1,7685,1,False,True,False,False,True,False
305,0,88.0,0.0,1,3776,1,False,True,False,False,False,True
306,0,35.0,3.0,0,2734,1,True,False,False,False,True,False
307,1,94.0,1.0,0,7552,1,True,False,False,False,False,True
308,0,79.0,5.0,0,7148,0,False,False,True,True,False,False
309,0,38.0,1.0,0,9953,0,True,False,False,True,False,False
310,0,8.0,4.0,0,2880,0,False,False,True,True,False,False
311,1,97.0,5.0,0,9099,1,True,False,False,True,False,False
312,1,86.0,1.0,1,3518,1,False,False,True,False,True,False
313,1,93.0,0.0,0,2551,0,False,True,False,True,False,False
314,1,41.0,0.0,0,8461,1,False,True,False,False,False,True
315,1,74.0,4.0,1,48,1,False,True,False,False,True,False
316,0,79.0,1.0,0,6372,1,False,False,True,False,True,False
317,0,94.0,3.0,0,2660,0,False,True,False,False,True,False
318,1,97.0,5.0,0,5688,0,False,False,True,True,False,False
319,0,2.0,5.0,0,114,1,False,True,False,False,True,False
320,1,76.0,2.0,0,1804,0,False,False,True,True,False,False
321,1,85.0,5.0,0,2260,0,False,False,True,True,False,False
322,0,17.0,2.0,1,1082,1,False,True,False,False,True,False
323,0,36.0,5.0,0,1132,0,False,True,False,True,False,False
324,1,4.0,2.0,1,2350,1,False,False,True,False,True,False
325,0,58.0,4.0,0,194,1,False,True,False,False,False,True
326,1,80.0,1.0,0,6904,1,False,True,False,False,True,False
327,1,21.0,3.0,0,4503,0,True,False,False,True,False,False
328,1,100.0,5.0,1,2401,0,False,False,True,True,False,False
329,1,32.0,0.0,0,9844,0,True,False,False,True,False,False
330,0,75.0,3.0,1,1089,0,False,True,False,True,False,False
331,1,82.0,2.0,0,8849,0,False,True,False,True,False,False
332,0,9.0,5.0,1,9363,1,False,False,True,False,False,True
333,0,41.0,0.0,1,5296,1,False,False,True,False,False,True
334,1,44.0,4.0,0,2234,1,False,False,True,False,False,True
335,0,14.0,0.0,0,7649,0,True,False,False,True,False,False
336,0,21.0,1.0,1,3414,0,False,True,False,False,True,False
337,0,1.0,5.0,0,678,1,True,False,False,True,False,False
338,0,71.0,2.0,1,7034,1,False,False,True,False,False,True
339,0,76.0,4.0,1,3507,1,False,True,False,True,False,False
340,1,27.0,0.0,0,3273,0,False,False,True,False,True,False
341,1,27.0,1.0,0,1005,0,False,True,False,True,False,False
342,1,32.0,1.0,1,8061,1,False,False,True,False,False,True
343,1,81.0,5.0,1,6108,0,False,False,True,True,False,False
344,0,15.0,0.0,1,326,0,False,False,True,True,False,False
345,1,7.0,3.0,0,874,1,False,True,False,False,True,False
346,1,22.0,2.0,1,1685,0,False,False,True,True,False,False
347,0,75.0,2.5,1,2903,0,False,True,False,True,False,False
348,1,100.0,2.5,1,1073,1,False,True,False,False,True,False
349,1,100.0,4.0,1,2415,0,False,False,True,True,False,False
350,1,97.0,5.0,0,6011,1,False,False,True,False,True,False
351,1,48.0,2.5,1,2800,0,False,True,False,True,False,False
352,1,18.0,2.0,0,4101,0,False,True,False,False,True,False
353,0,62.0,0.0,1,2602,1,False,False,True,False,True,False
354,1,11.0,4.0,1,3976,1,False,False,True,False,False,True
355,0,27.0,4.0,0,6507,1,False,True,False,False,False,True
356,0,5.0,5.0,0,136,1,False,True,False,False,True,False
357,1,15.0,5.0,0,6437,1,False,True,False,False,True,False
358,1,13.0,4.0,1,3743,1,False,True,False,False,False,True
359,1,30.0,0.0,0,6753,1,False,False,True,False,False,True
360,1,7.0,1.0,0,6841,1,False,False,True,False,True,False
361,1,51.0,1.0,0,5541,0,False,True,False,True,False,False
362,1,69.0,2.0,1,7307,0,False,True,False,True,False,False
363,0,100.0,2.0,0,3726,1,False,False,True,False,True,False
364,0,34.0,2.0,0,7732,1,True,False,False,False,False,True
365,0,66.0,4.0,1,327,1,False,True,False,False,False,True
366,0,37.0,4.0,1,5244,1,False,True,False,True,False,False
367,0,95.0,2.0,0,2691,1,False,False,True,False,False,True
368,0,63.0,3.0,0,5913,1,True,False,False,False,True,False
369,1,68.0,3.0,0,4098,1,False,True,False,False,False,True
370,0,26.0,0.0,1,8154,0,False,True,False,True,False,False
371,0,63.0,2.5,0,4582,1,False,True,False,False,False,True
372,1,52.0,4.0,0,5439,0,False,False,True,True,False,False
373,1,73.0,1.0,1,8466,0,False,False,True,True,False,False
374,0,38.0,3.0,0,4275,0,False,False,True,True,False,False
375,1,79.0,2.0,1,5582,1,False,False,True,False,True,False
376,1,53.0,5.0,1,844,1,False,True,False,True,False,False
377,1,18.0,0.0,0,7389,0,False,False,True,True,False,False
378,0,44.0,1.0,1,7670,0,False,False,True,False,True,False
379,0,93.0,1.0,0,28,1,False,False,True,False,False,True
380,1,49.0,0.0,0,715,1,False,False,True,False,False,True
381,0,9.0,4.0,0,525,0,False,True,False,True,False,False
382,1,100.0,2.0,1,2125,1,False,False,True,False,True,False
383,0,100.0,4.0,1,4247,0,False,False,True,False,True,False
384,0,28.0,2.5,0,7804,0,True,False,False,True,False,False
385,1,19.0,5.0,0,6443,0,False,True,False,True,False,False
386,1,41.0,2.5,1,7321,1,False,False,True,False,True,False
387,1,42.0,4.0,0,7560,1,False,True,False,False,False,True
388,0,18.0,0.0,1,1736,0,False,True,False,False,True,False
389,1,60.0,5.0,1,2321,1,False,True,False,False,True,False
390,1,61.0,5.0,1,7541,0,False,False,True,True,False,False
391,1,91.0,5.0,0,9726,0,False,True,False,True,False,False
392,0,100.0,1.0,1,3364,1,False,False,True,False,False,True
393,1,50.0,3.0,0,6598,1,False,False,True,False,True,False
394,1,18.0,2.0,1,734,0,False,True,False,True,False,False
395,0,10.0,2.0,1,4284,0,False,False,True,True,False,False
396,1,0.0,4.0,1,1217,1,False,True,False,False,True,False
397,0,47.0,1.0,1,6751,0,False,False,True,True,False,False
398,1,73.0,1.0,0,3993,0,False,False,True,True,False,False
399,0,19.0,5.0,0,4949,1,True,False,False,False,False,True
400,1,29.0,3.0,0,8905,0,False,False,True,True,False,False
401,0,75.0,2.5,0,6961,0,True,False,False,False,True,False
402,1,38.0,5.0,1,1490,1,False,True,False,False,True,False
403,0,31.0,1.0,1,4161,1,False,False,True,False,False,True
404,1,10.0,0.0,1,2284,0,False,False,True,True,False,False
405,1,79.0,1.0,1,9601,1,False,False,True,False,False,True
406,0,16.0,1.0,0,6397,1,False,False,True,False,True,False
407,0,95.0,2.0,1,3256,1,False,True,False,False,False,True
408,0,43.0,2.0,0,9050,0,True,False,False,True,False,False
409,0,46.0,2.5,1,4602,0,False,False,True,False,True,False
410,0,84.0,0.0,0,4876,0,True,False,False,False,True,False
411,1,88.0,3.0,1,8895,1,False,True,False,False,True,False
412,0,85.0,1.0,0,4159,1,False,False,True,False,True,False
413,0,38.0,3.0,1,4282,0,False,False,True,False,True,False
414,0,59.0,4.0,1,4303,1,False,True,False,False,False,True
415,1,39.0,0.0,1,5627,0,False,False,True,True,False,False
416,0,65.0,2.0,0,5378,1,True,False,False,False,False,True
417,1,63.0,4.0,0,281,1,False,True,False,False,True,False
418,0,86.0,3.0,1,455,1,False,True,False,False,True,False
419,0,16.0,4.0,0,5258,0,False,True,False,True,False,False
420,1,100.0,3.0,1,9160,1,False,False,True,False,False,True
421,1,82.0,0.0,0,8134,1,False,False,True,False,False,True
422,0,93.0,5.0,0,4523,0,False,True,False,True,False,False
423,1,80.0,4.0,1,3037,1,False,False,True,False,False,True
424,0,51.0,4.0,1,5362,1,False,False,True,False,False,True
425,0,4.0,2.5,0,7542,1,False,True,False,False,False,True
426,1,32.0,3.0,0,787,1,False,False,True,False,True,False
427,1,18.0,5.0,0,9132,1,False,True,False,False,False,True
428,0,65.0,2.5,1,4722,0,False,False,True,False,True,False
429,0,69.0,1.0,1,8489,0,False,False,True,True,False,False
430,0,34.0,4.0,0,1379,0,False,True,False,True,False,False
431,0,84.0,3.0,1,2965,1,False,False,True,False,False,True
432,1,76.0,2.5,0,3228,0,False,True,False,True,False,False
433,0,49.0,0.0,0,4100,1,False,False,True,False,True,False
434,0,81.0,5.0,0,1627,1,False,False,True,False,False,True
435,0,14.0,0.0,1,2130,0,False,True,False,True,False,False
436,1,50.0,5.0,1,4021,1,False,False,True,False,False,True
437,0,95.0,0.0,1,4928,0,False,False,True,True,False,False
438,1,60.0,3.0,1,8938,1,False,True,False,False,False,True
439,1,68.0,3.0,1,2227,1,False,False,True,False,False,True
440,1,94.0,3.0,0,2286,1,False,False,True,False,False,True
441,1,42.0,2.5,0,309,0,False,False,True,False,True,False
442,0,5.0,3.0,1,617,1,False,False,True,False,False,True
443,0,3.0,4.0,0,6717,1,True,False,False,False,True,False
444,1,65.0,3.0,0,8015,1,False,True,False,False,True,False
445,0,47.0,1.0,1,7675,1,False,False,True,False,True,False
446,1,42.0,2.0,0,7240,1,False,True,False,False,False,True
447,0,22.0,2.0,0,2205,1,False,False,True,False,False,True
448,0,4.0,2.0,1,5704,0,False,False,True,False,True,False
449,1,20.0,2.5,0,1739,1,True,False,False,False,False,True
